,	，
yy/	雍
yy;	痍
yyd	育
yyd,	嬴
yydg	赢
yye	彦
yyf	夜
yyff	膺
yyfp	饔
yyg	裔
yygf	瘿
yyh	言
yyi	痒
yyj	痖
yyk	颜
yyk.	疣
yykv	奕
yykx	弈
yyl	瘗
yym	瘾
yyn	庸
yyp	意
yyq	旖
yys	音
yyt	毅
yyt.	疫
yytc	衣
yyth	痈
yytp	鹰
yyty	韵
yyv	壅
yyw	亦
yyw;	庾瘐
yyy	瘀
yyyi	癔
yz	银
yz;	钺
yz;d	铘
yzb	钇
yzd	钥
yzg	铀
yzgk	铟
yzh	钰
yzi	镒
yzk	铕
yzm	郾
yzy	镛
yzyi	镱
yzyt	铱
z	在
z,	召
z,g	妯
z,j	杂
z,t	姊
z,y	嫜
z.	蚤
z/	组
z/.	缀
z//	缁
z/;	彘
z/f	纵
z/fy	骓
z/g	甾
z/gh	驵
z/i	缯
z/j	骤
z/jg	缜
z/jv	纣
z/l	织
z/o	综
z/on	绽
z/q	缵
z/t	终
z/t;	纸
z/tn	绉驺
z/w	缒
z/y	驻
z;	转
z;/	辎
z;;	轾
z;e	斩
z;f	轸
z;fh	錾
z;g	轴
z;gx	匝
z;h	臻
z;j	辄
z;l	轵
z;m	郅
z;n	辗
z;q	致
z;s	暂
z;v	至
z;y	辙
za	战
za/	紫
zaa	止
zaaa	龇
zag	贞
zagf	赀
zaj	卓
zak	砦
zal	占
zas	桌
zat	觜
zay	訾
zb	著
zb/	荮
zba	芷
zbc	藻
zbcg	菹
zbh	蓁
zbj	蘸
zbk	葬
zbm	蒸
zbmg	茁
zbo	苎
zbp	芝
zbq	茱
zbs	蕞
zby	蔗
zc	治
zc,	沼
zc.	泽
zc.;	濯
zc/	淄
zca	沾
zcag	浈
zcg	浊
zch	渍
zci	洲
zci;	滋
zcj	汁
zcja	湛
zcjk	渚
zcjs	滞
zck	涿
zcl	澡
zcla	浞
zcn	涨
zco	滓
zcq	洙
zct	潴
zcu	浙
zcx	渣
zcy	注
zcyi	漳
zd	脏
zdf	胗
zdg	肿
zdi	朕
zdj	肢
zdjv	肘
zdo	腙
zdo,	膣
zdq	胀
zdqa	胙
zdt	脂
zdt;	胝
ze	质
ze.	舟
ze/	卮
zef	爪
zeg	徵
zegj	舯舳
zej	征
zeq	舴
zf	作
zf;	侄
zfa	侦
zfas	倬
zff	众
zffv	坐
zfg	仲
zfgh	俎
zfh	债
zfj	做
zfjg	值
zfk	仗
zfkj	佐
zfl	掌
zfm	仔
zfo	伫
zfq	侏
zft	仉
zfte	偬
zfy	住
zg	中
zg,	助
zg;	崭
zg;v	蛭
zga	罪
zgaa	眦
zgag	帧
zgas	罩
zgd	胄
zgf	畛
zgg	崽
zggs	盅
zgh	贼
zgha	帻
zghx	曱
zgi	赠
zgi;	赚嵫
zgig	罾
zgj	置
zgk	赈
zgkg	颛
zgl	帜
zgn	瞩
zgo	贮
zgp	忠
zgq	账
zgq.	帐
zgqa	蚱
zgqj	蛛
zgqk	蜘帙
zgr	眨
zgs	则
zgt	睁
zgtk	瞻
zgtn	峥
zgy	赃
zgyi	蟑嶂幛
zgyj	蛀
zh	专
zhf	珍
zhg	责
zhgf	赘
zhgs	盏
zhh	奏
zhk	琢
zhm	耔
zhq	珠
zhqa	瓒
zhy	璋
zi	着
zi;	甑
zig	烛
zij	糟
zijv	尊
zil	燥
zim	郑
zimz	籽孳
zio	粽
zip	总
zipv	遵
ziq	炸
zit	灼
zitu	糌
ziu	州
ziv	灶
ziy	炷
zj	再
zj.	支
zj.;	翥
zj;	载
zj;.	甄
zja	髭
zjg	直
zjh	赜
zjj	正
zjjj	整
zjjv	酎
zjjz	喆
zjl	哉
zjlr	职
zjm	鄹
zjo	枣
zjoj	斟
zjon	鬃
zjoo	煮
zjp	志
zjpv	遭
zjq	政
zjr	真
zjs	者
zjt	酌
zjts	酯
zjx	栽
zjy	醉
zk	左
zka	砧
zke	斫
zkf	仄
zkh	砖
zkha	碡
zkj	砸
zkjn	臧
zkp	逐
zkq	砟
zkt	磔
zkv	丈
zl	只
zl;	啭
zla	足
zlaa	嘴趾
zle	踬
zlf	唑
zlg	躅
zlh	啧
zli	踯
zlj	吱
zlja	喋
zljk	啫
zljm	咂
zlk	震
zlk,	啄
zlkj	咗
zlkl	跖
zll	躁
zlll	噪
zln	嘱
zlo	踪
zlo,	咤
zlq	咋
zlqa	躜
zlqb	吒
zlqg	踵
zlt	咒
zltn	踭
zltv	啁
zlu	哳
zlw	咱
zlwn	唣
zly	嗻
zm	子
zm/	骘
zm;	阵
zma	陟
zmg	阻
zmj	陬
zmk	奘
zmq	孜
zmqa	阼
zmv	坠
zmy	障
zn	张
zng	帚
znj	展
znl	咫
zns	昼
zo	字
zo;	窒
zo;g	窀
zog	宙
zoga	惴
zoh	宗
zohs	寨
zoi	灾
zoig	憎
zoj	怔
zoj.	忮
zoq	窄
zoqa	怍
zoqb	宅
zoy	宰
zp	之
zp,	诏
zp.	褶
zp;	谮
zpa	祯
zpaa	祉
zpf	诊
zpg	祖
zpgh	诅
zpi	禚
zpj	证
zpja	诹
zpjk	诸
zpk	冢
zpk,	诼
zpl	祝
zpn	肇
zpq	诈
zpqa	祚
zpqj	诛
zpt	诌
zptk	谵
zptn	诤
zptp	鸩
zpy	谆
zpyi	谪
zpyt	谘
zq	制
zq/	纂
zq/k	篆
zq;	簪
zqa	乍
zqal	毡
zqe	笊
zqf	稚
zqfy	雉
zqg	赞
zqgh	租
zqh	竺
zqha	箦
zqj	朱
zqjg	稹
zqjk	筑箸
zqk	箴
zql	知
zqm	邾
zqp	造
zqpo	怎
zqpv	迮
zqq	竹
zqqa	笮
zqqk	秩
zqs	智
zqt	笫
zqtd	秭
zqtn	筝
zqu	籀
zr	兆
zri	豸
zs	最
zs,	昭
zsi	凿
zsig	黹
zsj	早
zsk	昃
zso	照
zsq	昨
zt	争
zt,	皱
zt/	鲻
ztg	螽
zti	炙
ztig	觯
ztij	鳟
ztj	猪
ztja	鲰
ztm	邹
ztn	馔
ztr	詹
zts	旨昝
ztt	狰
ztv	周
ztx	橥
ztxs	猹
zty	獐
zu	指
zu,	执
zu,l	招
zu.	择
zu.;	摺擢
zu/	絷
zu/,	拶
zu;	找
zub	扎
zue	抓
zug	闸
zugf	贽
zugh	拽
zugj	蛰蜇
zuh	揍
zui	掷
zuij	撙
zuk	振
zul	哲
zula	捉
zum	拙
zum,	拯
zun	撰
zunq	搌
zuq	挚
zuqa	攒
zuqi	攥
zut	挣
zutp	鸷
zux	揸
zuy	摘
zuyi	撞
zuyj	拄
zuyq	摭
zv	走
zva	址
zvi	增
zvj	赭
zvjg	埴
zvq	趱
zvr	赵
zvw	圳
zvy	趑
zw	自
zw;	皂
zwp	追
zwx	齄
zx	植
zx.	杼
zx;	桎
zxa	桢
zxas	棹
zxb	札
zxbm	栉
zxe	栀
zxh	栈
zxhk	榛
zxi	樽
zxj	枝
zxk	杖
zxkl	柘
zxl	枳
zxo	棕
zxo,	榨
zxp	枕
zxpj	槠
zxq	株
zxqa	柞
zxy	柱
zxyc	桩
zxyi	梓樟
zy	准
zy,	妆
zy,z	姿
zya	站
zye	彰
zyf	座
zyfe	疹
zyg	资
zygj	衷
zyi	粢
zyj	主
zyjj	症
zyjl	痣
zyjz	壮
zyk	状
zyk,	瘃
zykg	斋
zyl	咨
zym	鄣
zyn	麈
zyp	这
zypo	恣
zypv	遮
zyq	族
zyqa	痄
zyqt	旃
zys	章
zyt	鹧
zyto	瘵
zyv	庄
zyvj	痔
zyy	装
zyyi	瘴
zyyj	疰
zz	针
zz/	锱
zza	钻
zzf	锥
zzg	钟
zzgf	铡
zzgs	镯
zzh	铸
zzj	镇
zzjj	钲
zzjk	锗
zzl	锃
zzq	锺
zzqj	铢
zzs	钊
zzt	铮
zzy	镞
